Zodis                         Eilutes
tautų                         3, 41, 45, 47, 51, 55, 61, 84, 117, 497, 750
tačiau                        19, 37, 45, 47, 55, 82, 86, 102, 108, 117, 194
teatras                        764, 765
technologijų                  550, 607
teisingumo                     127, 179
teisių                        72, 108
teisę                         45, 139
teko                           63, 82
telšių                       205, 260, 732, 735, 737
temperatūra                   290, 330
temperatūrų                  330, 332, 335, 337
tenka                          330
teritorija                     60, 194, 276, 386
teritorijoje                   19, 92, 274, 392
teritorijos                    30, 43, 82, 86, 274, 282, 386
teritoriją                    3, 15, 27, 70, 98
teritorinį                    31, 35
teutonų                       25, 35
thermo                         547, 550
tiek                           690
tiekimą                       117, 572
ties                           60, 82, 274
tik                            19, 72, 82, 117, 386, 683, 685, 753
tiki                           712
tikėjosi                      45, 102
tinklų                        572
to                             27, 45, 86, 108, 616, 624, 643, 750
todėl                         72, 683
toje                           274
tokias                         456
transportas                    553, 554
tremti                         63, 690
tris                           108, 685
trukmė                        628
truko                          108, 117
trukę                         43, 108
trys                           607, 626
tuo                            31, 45, 53, 80, 106, 108, 117
turi                           139, 456, 607, 716, 768
turinčios                     716
turistų                       604
turizmo                        559, 604
turtas                         102, 108
turto                          19, 98
turėjo                        43, 51, 72
tūkst                         15, 53, 108, 115, 276, 604, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 683, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 709
tūkstančiai                  622, 716
tūkstančiui                  624
tų                            117, 121, 683
ugdymo                         744
ukrainiečių                  618, 680
ukrainos                       31, 274, 604
ultimatumą                    90, 92
unesco                         334, 750
unija                          33, 45
unijos                         3, 45
universitetas                  63, 84, 744
uostas                         557
upių                          8, 289, 383, 386
upė                           386
upės                          35, 385, 390
utenos                         206, 263, 643, 734, 739
už                            17, 72, 88, 92, 104, 108, 276, 499
užima                         157, 186, 282, 456, 548
užimtumo                      501, 505
užmegzti                      72, 90
užsienio                      84, 108, 132, 180, 480, 515, 516, 517, 604, 685
užėmusi                      27, 53
užėmė                       39, 43, 51, 53, 70, 82, 104, 497
vakarinėje                    280, 386
vakaruose                      1, 278
vakarus                        104, 274, 276
vakarų                        17, 31, 458, 618
valdovai                       25, 51, 753
valdovą                       43, 45
valdymo                        55, 86, 125
valdžia                       70, 92, 106, 108, 127, 139, 162, 744
valdžios                      84, 108, 117, 476, 478
valdžią                      8, 19, 86, 125, 127
valstiečių                   149, 152
valstybių                     1, 3, 5, 39, 43, 90, 458, 497
valstybė                      1, 3, 5, 31, 35, 43, 53, 72, 74, 521, 534, 753
valstybėje                    51, 86
valstybėmis                   72
valstybės                     8, 19, 25, 35, 53, 55, 72, 80, 82, 84, 86, 92, 98, 117, 470, 572, 588, 620
valstybę                      19, 43, 61, 72, 108
vandens                        117, 386, 574
vandenų                       27, 566
vardan                         147, 164
varnas                         758, 770
varėnos                       264, 274
varšuvos                      61
vas                            293, 340
vasario                        3, 19, 72, 82, 117, 121
vasarą                        108, 330, 776, 778
veikia                         550, 557, 559, 607
veikla                         690, 716
veikė                         108, 550, 744
verslo                         607, 716
vid                            51
vidaus                         35, 117, 181, 186, 282, 566, 604
vidurio                        1, 19, 39, 411, 413
vidutinio                      330
vidutiniškai                  330, 712
vidutinių                     280, 330
vidutinė                      290, 304, 317, 330, 470, 474, 513, 628
vien                           590, 692
viena                          1, 5, 132, 750
vienam                         51, 458
vienas                         19, 86, 458, 624, 744
vienetai                       186, 194
vienintelis                    557, 788
vienos                         61, 86
vieną                         19, 43, 604, 685
vienų                         108, 139
vieta                          14, 521, 534, 646
vietovė                       274, 750
vietovės                      716
vietą                         186, 456, 497, 548, 618
vilniaus                       33, 37, 63, 90, 92, 115, 207, 266, 267, 274, 557, 594, 641, 643, 689, 710, 730, 733, 744, 750
vilniuje                       72, 82, 550, 744, 768
vilnius                        1, 82, 604, 626, 721, 730
vilnių                        53, 82, 92, 115, 117, 744
virtuvė                       772, 773
visagino                       268, 588, 643
visas                          43, 51, 458, 572
visi                           63, 72, 139, 683, 768
viso                           115, 186, 484, 586, 683
visos                          61, 84, 98, 117, 643
visą                          43, 70
visų                          51, 72, 643, 710
vokietija                      70, 72, 90, 92, 487, 524, 536
vokietijai                     90, 92
vokietijos                     3, 92, 102, 604, 620
vokiečių                     31, 69, 72, 80, 82, 102, 683
vykdyti                        55, 98, 104
vyko                           108
vyrauja                        330, 690
vyriausybė                    80, 82, 88, 90, 102, 125, 161
vyriausybę                    86, 92
vyrų                          786
vyskupo                        19, 63
vytautas                       35, 37
vytauto                        35, 744
vytautui                       35
vėjo                          574, 584
vėl                           104, 456
vėliau                        25, 63, 82, 92
vėžės                       559
xii                            19
xiii                           3, 19, 24, 25, 31, 753
xiv                            31, 690, 692
xv                             43
xvi                            43, 51
xvii                           51, 53
xviii                          3, 53, 55
xx                             690
y                              65, 499
ypač                          45, 120, 386, 768
yra                            1, 5, 8, 125, 132, 139, 162, 186, 194, 274, 276, 278, 280, 330, 334, 386, 456, 458, 557, 572, 614, 618, 624, 628, 641, 643, 683, 716, 744, 750, 753, 768, 786, 788
zarasų                        269, 624
zonoje                         280, 330
°                             274
°c                            290, 330, 337
Čekiją                       39, 276
čempione                      786, 788
čempionu                      786, 788
ėmė                          15, 43, 72, 84, 92, 117, 186, 456
Į                             15, 61, 750
į                             5, 17, 19, 27, 33, 35, 43, 45, 47, 51, 53, 63, 72, 82, 84, 98, 102, 104, 106, 108, 115, 117, 186, 194, 274, 276, 280, 330, 454, 497, 588, 618, 620, 622, 744, 750, 788
įkurtas                       108, 115, 744, 758
įmonių                       582, 607
įsitvirtino                   27, 35
įstaigos                      79, 84, 744
įtaka                         51, 86
įtakos                        92
įtampos                       572, 586
įteikė                       90, 92
įtraukti                      35, 750
įvairaus                      108, 753
įvyko                         19, 86, 102, 115
Šalies                        284, 450, 452
Šalis                         186, 607, 768
Šalyje                        557, 604, 768
Šalčininkų                  252, 641, 643
Šarūnas                      174, 786
Ši                            3, 35
Šiauliai                      1, 626, 727, 733
Šiaulių                      203, 253, 254, 557, 599, 733, 738
Šiaurės                      55, 744
Šis                           35, 61, 186, 626, 758
Šiuo                          186, 626
Šv                            689
Švedija                       51, 485, 531, 540
Švedijos                      1, 53
Švenčionių                  258, 624
šalies                        1, 82, 98, 117, 125, 330, 386, 557, 620, 624, 628, 744, 786, 788
šalis                         3, 72, 280, 456, 458, 480, 618
šalių                        17, 97, 115, 186, 456, 604, 685, 712
šalyje                        84, 86, 108, 127, 607, 690, 694
šalys                         3, 495
šalyse                        186, 618
šalį                         43, 51, 618
šeimų                        150, 153
ši                            8, 108
šiame                         43, 51, 79
šiaurės                      274, 276
šiaurę                       274
šiuo                          121, 604
šiuos                         92, 712
šį                           90, 615
Ūkio                          501, 507
ūkio                          88, 106, 182, 458
Žemaičių                    406, 410
Žmogaus                       456, 497
žaliųjų                     149, 152
žemes                         19, 43
žemių                        19, 61
žemos                         458, 572
žemuma                        409, 411, 413
žemyninį                     280, 330
žemėlapis                    191, 193, 273, 556
žemės                        19, 61, 84, 88, 282, 716
žiemą                        330, 776
žmonių                       115, 117, 618, 643, 685
žmonės                       104, 117
žygių                        19, 25
